Author,count
Jeff Kinney,12
Suzanne Collins,11
Gary Chapman,11
Rick Riordan,11
American Psychological Association,10
Dr. Seuss,9
Gallup,9
Rob Elliott,8
Bill O'Reilly,7
Eric Carle,7
Stephen R. Covey,7
Dav Pilkey,7
Stephenie Meyer,7
Sarah Young,6
Stieg Larsson,6
The College Board,6
Don Miguel Ruiz,6
Harper Lee,6
J.K. Rowling,6
E L James,6
John Green,5
Dale Carnegie,5
Giles Andreae,5
Roger Priddy,5
John Grisham,5
Patrick Lencioni,5
Laura Hillenbrand,5
R. J. Palacio,5
Thug Kitchen,4
Rupi Kaur,4
Stephen King,4
Jim Collins,4
Charlaine Harris,4
Veronica Roth,4
Malcolm Gladwell,4
Rod Campbell,4
Emily Winfield Martin,4
Kathryn Stockett,4
Marie Kondō,4
Jen Sincero,4
Gillian Flynn,3
George R.R. Martin,3
Margaret Wise Brown,3
Rachel Hollis,3
Dan Brown,3
Walter Isaacson,3
Wizards RPG Team,3
Carol S. Dweck,3
F. Scott Fitzgerald,3
Melissa Hartwig Urban,3
Ree Drummond,3
Rebecca Skloot,3
Brandon Stanton,3
Ina Garten,3
Glenn Beck,3
Francis Chan,3
Drew Daywalt,3
Mark Manson,3
James Patterson,2
Tara Westover,2
Mark R. Levin,2
Todd Burpo,2
School Zone,2
Rush Limbaugh,2
Amy Ramos,2
Samin Nosrat,2
Naomi Kleinberg,2
Eben Alexander,2
Susan Cain,2
David Platt,2
Ernest Cline,2
Laurel Randolph,2
Greg Mortenson,2
William P. Young,2
Kristin Hannah,2
Deborah Diesen,2
Donna Tartt,2
Craig Smith,2
William Davis,2
Daniel Kahneman,2
Daniel Lipkowitz,2
Daniel James Brown,2
B. J. Novak,2
Markus Zusak,2
Timothy Ferriss,2
Doug Lemov,2
Dr. Steven R Gundry MD,2
Sandra Boynton,2
Robert Munsch,2
Ann Voskamp,2
Garth Stein,2
Paula Hawkins,2
Abraham Verghese,2
David Zinczenko,2
RH Disney,2
Scholastic,2
Lysa TerKeurst,2
Ann Whitford Paul,2
Sheryl Sandberg,2
J. D. Vance,2
Joanna Gaines,2
Jennifer Smith,2
Sherri Duskey Rinker,2
J. K. Rowling,2
Marjorie Sarnat,2
Joel Fuhrman MD,2
Ray Bradbury,2
Johanna Basford,2
Blue Star Coloring,2
Fredrik Backman,2
American Psychiatric Association,2
Bill Martin Jr.,2
DK,2
Michelle Obama,2
Ta-Nehisi Coates,2
George R. R. Martin,2
Anthony Doerr,2
Zhi Gang Sha,2
Brené Brown,1
Kevin Kwan,1
Rob Bell,1
Celeste Ng,1
Alice Schertle,1
Chris Cleave,1
Paper Peony Press,1
Keith Richards,1
Anthony Bourdain,1
Jill Twiss,1
David Grann,1
Gayle Forman,1
Howard Stern,1
Allie Brosh,1
Hopscotch Girls,1
Christopher Paolini,1
Eric Larson,1
Mitch Albom,1
Pretty Simple Press,1
Sarah Palin,1
Brian Kilmeade,1
Peter A. Lillback,1
Bob Woodward,1
Michael Wolff,1
Michael Pollan,1
John Heilemann,1
Lin-Manuel Miranda,1
Raina Telgemeier,1
Adam Mansbach,1
David Perlmutter MD,1
Phil Robertson,1
Tony Hsieh,1
Marty Noble,1
Daniel H. Pink,1
Jordan B. Peterson,1
Mark Twain,1
Khaled Hosseini,1
Chris Kyle,1
Ron Chernow,1
Steve Harvey,1
Adult Coloring Book Designs,1
Coloring Books for Adults,1
Larry Schweikart,1
Jaycee Dugard,1
Madeleine L'Engle,1
JJ Smith,1
George Orwell,1
National Geographic Kids,1
Amor Towles,1
James Comey,1
Chrissy Teigen,1
Neil deGrasse Tyson,1
Sasha O'Hara,1
Thomas Piketty,1
Atul Gawande,1
Angie Grace,1
Bruce Springsteen,1
David Goggins,1
M Prefontaine,1
George W. Bush,1
Tucker Carlson,1
Ian K. Smith M.D.,1
Tatiana de Rosnay,1
Golden Books,1
Julia Child,1
Justin Halpern,1
Pierre Dukan,1
Muriel Barbery,1
Delegates of the Constitutional,1
Jon Stewart,1
Bill Simmons,1
Thomas Campbell,1
Mark Hyman M.D.,1
Steven D. Levitt,1
Mike Moreno,1
Chip Heath,1
Paulo Coelho,1
W. Cleon Skousen,1
Edward Klein,1
Michael Lewis,1
Bessel van der Kolk M.D.,1
Nathan W. Pyle,1
Christina Baker Kline,1
Elizabeth Strout,1
Mark Owen,1
Pete Souza,1
Elie Wiesel,1
Adam Gasiewski,1
Crispin Boyer,1
Amy Shields,1
Admiral William H. McRaven,1
Andy Weir,1
Stephen Kendrick,1
Patrick Thorpe,1
Randy Pausch,1
Chip Gaines,1
Jonathan Cahn,1
Margaret Atwood,1
Dinah Bucholz,1
Dave Ramsey,1
Audrey Niffenegger,1
Alex Michaelides,1
Charles Duhigg,1
F. A. Hayek,1
James Dashner,1
Paula McLain,1
The Washington Post,1
Angie Thomas,1
Mary Ann Shaffer,1
Jay Asher,1
Tina Fey,1
Charles Krauthammer,1
David McCullough,1
Jon Meacham,1
Silly Bear,1
Edward M. Kennedy,1
Robert Jordan,1
Alan Moore,1
Randall Munroe,1
Adir Levy,1
Hillary Rodham Clinton,1
Sara Gruen,1
Paul Kalanithi,1
Heidi Murkoff,1
Delia Owens,1
Maurice Sendak,1
Cheryl Strayed,1
The Staff of The Late Show with,1
Geneen Roth,1
Ken Follett,1
